Binance,AAX,Hitbtc,KuCoin
0.0,0.0,0.0,0.0
64418.4,64373.54,64415.74,64411.6
64418.4,64373.54,64415.74,64411.6
64418.4,64373.54,64415.74,64411.6
64418.4,64373.54,64415.74,64411.6
64418.4,64373.54,64415.74,64411.6
64418.4,64373.54,64415.74,64411.6
64418.4,64373.54,64415.74,64411.7
64418.4,64373.54,64415.75,64411.7
64418.4,64373.54,64415.75,64411.7
64418.4,64373.54,64415.75,64411.7
64418.4,64373.54,64415.75,64411.7
64418.4,64373.54,64415.75,64411.7
64418.4,64373.54,64415.75,64414.1
64418.4,64373.54,64415.76,64414.1
64418.4,64373.54,64415.77,64414.1
64418.42,64373.54,64415.77,64415.0
64418.42,64373.54,64415.77,64415.0
64418.95,64373.54,64416.58,64415.0
64418.95,64373.54,64416.59,64415.0
64418.95,64373.54,64416.59,64415.0
64418.95,64373.54,64416.59,64415.0
64418.95,64373.54,64416.59,64415.0
64418.95,64373.54,64416.6,64415.0
64418.95,64373.54,64416.6,64415.0
64418.4,64373.54,64416.6,64415.0
64418.4,64373.54,64416.6,64415.0
64418.4,64373.54,64416.6,64415.0
64418.4,64373.54,64416.6,64415.0
64418.4,64373.54,64416.6,64415.0
64418.4,64373.54,64416.6,64415.0
64415.45,64373.54,64416.6,64415.0
64415.45,64373.54,64416.6,64415.0
64415.45,64373.54,64416.6,64415.0
64415.45,64373.54,64416.6,64415.0
64415.45,64373.54,64416.6,64415.0
64415.45,64373.54,64416.61,64415.2
64415.45,64373.54,64416.61,64415.3
64415.45,64373.54,64416.61,64415.3
64415.45,64373.54,64416.61,64415.3
64415.45,64373.54,64416.93,64415.3
64415.45,64373.54,64416.93,64415.3
64418.39,64373.54,64416.93,64415.3
64418.39,64373.54,64416.93,64415.3
64418.39,64373.54,64416.93,64415.3
64418.39,64373.54,64416.93,64417.2
64418.39,64373.54,64417.17,64417.2
64418.39,64373.54,64417.17,64417.2
64418.39,64373.54,64417.19,64417.2
64418.4,64373.54,64417.19,64417.2
64418.95,64373.54,64417.19,64417.2
64418.95,64373.54,64417.19,64417.2
64418.95,64373.54,64417.19,64417.2
64418.95,64373.54,64417.19,64417.2
64418.95,64373.54,64417.19,64417.2
64418.95,64373.54,64417.19,64417.2
64418.95,64373.54,64417.38,64417.2
64418.4,64373.54,64417.38,64417.2
64418.4,64373.54,64417.38,64417.2
64418.4,64373.54,64417.38,64417.2
