Binance,AAX,Hitbtc,KuCoin
0.0,0.0,0.0,0.0
4658.28,4656.14,4659.487,4657.12
4658.28,4656.14,4659.487,4657.12
4658.28,4656.14,4659.487,4657.12
4658.28,4656.14,4659.487,4657.12
4658.4,4656.14,4659.487,4657.12
4658.4,4656.14,4659.487,4657.12
4658.4,4656.14,4659.487,4657.12
4658.4,4656.14,4659.487,4657.12
4658.86,4656.97,4659.533,4657.12
4658.86,4656.97,4659.533,4657.12
4658.55,4656.97,4659.533,4657.12
4658.57,4656.97,4659.533,4657.12
4658.57,4656.97,4659.533,4657.12
4658.57,4656.97,4659.533,4657.12
4658.62,4656.97,4659.533,4657.12
4658.63,4656.97,4659.533,4657.12
4658.68,4656.97,4659.533,4657.12
4658.89,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.12
4658.72,4657.15,4659.533,4657.5
4658.72,4657.15,4659.533,4657.5
4658.72,4657.15,4659.533,4657.5
4658.72,4657.15,4659.533,4657.5
4658.76,4657.57,4659.533,4657.5
4658.72,4657.57,4659.533,4657.5
4658.72,4657.57,4659.533,4657.5
4658.98,4657.57,4659.533,4657.5
4658.98,4657.57,4659.533,4657.5
4658.98,4657.57,4659.533,4657.5
4658.98,4657.57,4659.533,4657.5
4658.98,4657.57,4659.83,4657.5
4658.98,4657.57,4659.83,4657.5
4658.98,4657.57,4659.83,4657.5
4658.98,4657.57,4659.83,4657.5
4658.98,4657.57,4660.114,4657.5
4658.98,4657.78,4660.114,4657.5
4658.98,4657.78,4660.114,4657.5
4658.98,4657.78,4660.114,4657.5
4658.98,4657.78,4660.114,4657.5
4659.03,4657.78,4660.146,4657.5
4659.03,4657.78,4660.177,4657.5
4659.03,4657.78,4660.177,4657.5
4659.03,4657.78,4660.177,4657.5
4659.03,4657.99,4660.177,4657.5
4659.04,4657.99,4660.177,4657.5
4659.04,4657.99,4660.177,4657.5
4659.04,4657.99,4660.134,4657.5
4659.04,4657.99,4660.134,4657.5
4659.04,4657.99,4660.134,4657.5
4659.04,4657.99,4660.134,4657.5
4659.04,4657.99,4660.134,4657.5
4659.04,4657.99,4660.134,4657.5
